id,category,source,n_candidates,answer,base_pred,cpt_pred,base_correct,cpt_correct,base_free_pred,cpt_free_pred,base_free_correct,cpt_free_correct,outcome
251,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,إيداع,ومحل,0,1,CPT gained
252,collocation,legislations,20,تدعو,الحاجة,تدعو,0,1,يقتضيه,تدعو,0,1,CPT gained
253,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,المادة,القانون,0,1,both wrong
254,defined_term,adl_rulings,24,الداخلية,الداخلية,الداخلية,1,1,الداخلية,الداخلية,1,1,both correct
255,collocation,legislations,20,اقتراح,المرسوم,اقتراح,0,1,المادة,اقتراح,0,1,CPT gained
256,statute_term,gazette_legal_core,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
257,defined_term,legislations,24,اقتراح,القرار,اقتراح,0,1,طلب,اقتراح,0,1,CPT gained
258,defined_term,adl_rulings,24,على,على,على,1,1,ولهذا,على,0,1,both correct
259,defined_term,gazette_legal_core,24,الثانية,الثانية,الثانية,1,1,الثانية,الثانية,1,1,both correct
260,statute_term,gazette_section2_sample,4,القانون,المرسوم,المرسوم,0,0,تتقدم,تقديم,0,0,both wrong
261,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
262,defined_term,legislations,24,القانون,القرار,القانون,0,1,المرسوم,المرسوم,0,0,CPT gained
263,defined_term,adl_rulings,24,لبنانية,لبنانية,لبنانية,1,1,ل,لبنانية,0,1,both correct
264,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,م,ومحل,0,1,CPT gained
265,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,هذا,المادة,0,0,both correct
266,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,المرسوم,المرسوم,1,1,both correct
267,collocation,gazette_legal_core,20,اقتراح,المرسوم,اقتراح,0,1,قرار,اقتراح,0,1,CPT gained
268,statute_term,adl_rulings,4,القرار,المرسوم,المرسوم,0,0,قانون,قانون,0,0,both wrong
269,collocation,gazette_legal_core,20,مجلس,مجلس,مجلس,1,1,مجلس,مجلس,1,1,both correct
270,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,المرسوم,القانون,0,1,both wrong
271,statute_term,gazette_legal_core,4,التعميم,المرسوم,التعميم,0,1,المرسوم,التعميم,0,1,CPT gained
272,collocation,gazette_section2_sample,20,ومحل,وشهرته,ومحل,0,1,إسم,ومحل,0,1,CPT gained
273,defined_term,gazette_legal_core,24,مجلس,مجلس,مجلس,1,1,الجمهورية,مجلس,0,1,both correct
274,statute_term,legislations,4,القانون,المرسوم,المرسوم,0,0,زيادة,التراجع,0,0,both wrong
275,statute_term,legislations,4,المرسوم,المرسوم,التعميم,1,0,وزارة,مرسوم,0,0,CPT regressed
276,collocation,gazette_legal_core,20,القانون,المرسوم,المرسوم,0,0,المرسوم,المرسوم,0,0,both wrong
277,collocation,gazette_section2_sample,20,وشهرته,الجريدة,وشهرته,0,1,إيمان,وشهرته,0,1,CPT gained
278,statute_term,legislations,4,القرار,المرسوم,المرسوم,0,0,المرسوم,الاستدعاء,0,0,both wrong
279,statute_term,bibliographic_rulings,4,المرسوم,المرسوم,المرسوم,1,1,قانون,قانون,0,0,both correct
280,collocation,legislations,20,حيث,المرسوم,حيث,0,1,ه,حيث,0,1,CPT gained
281,defined_term,legislations,24,والبلديات,والبلديات,والبلديات,1,1,قد,والبلديات,0,1,both correct
282,collocation,bibliographic_rulings,20,والبلديات,والبلديات,والبلديات,1,1,طلب,الاعتراض,0,0,both correct
283,collocation,gazette_legal_core,20,المرسوم,المرسوم,المرسوم,1,1,المرسوم,المرسوم,1,1,both correct
284,defined_term,gazette_legal_core,24,الثانية,الثانية,الثانية,1,1,الثانية,الثانية,1,1,both correct
285,defined_term,related_provisions,24,الداخلية,التمييز,الداخلية,0,1,التربية,المالية,0,0,CPT gained
286,defined_term,legislations,24,الوزراء,الوزراء,الوزراء,1,1,الوزراء,الوزراء,1,1,both correct
287,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,القرار,المرسوم,0,1,both correct
288,collocation,gazette_legal_core,20,الجريدة,المرسوم,الجريدة,0,1,المادة,الجريدة,0,1,CPT gained
289,defined_term,legislations,24,هذا,هذا,هذا,1,1,هذا,هذا,1,1,both correct
290,collocation,related_provisions,20,العدد,رقم,رقم,0,0,رقم,رقم,0,0,both wrong
291,statute_term,legislations,4,القرار,المرسوم,القرار,0,1,المرسوم,القرار,0,1,CPT gained
292,statute_term,legislations,4,القرار,المرسوم,القرار,0,1,بقاء,القرار,0,1,CPT gained
293,collocation,gazette_legal_core,20,ويبلغ,الجريدة,ويبلغ,0,1,في,ويبلغ,0,1,CPT gained
294,statute_term,legislations,4,المرسوم,المرسوم,المرسوم,1,1,القانون,المرسوم,0,1,both correct
295,defined_term,legislations,24,الأولى,الأولى,الأولى,1,1,من,الاولى,0,1,both correct
296,defined_term,adl_rulings,24,الأولى,رقم,التمييز,0,0,من,,0,0,both wrong
297,statute_term,gazette_legal_core,4,المرسوم,المرسوم,المرسوم,1,1,التحقيق,المرسوم,0,1,both correct
298,statute_term,gazette_legal_core,4,التعميم,التعميم,التعميم,1,1,من,من,0,0,both correct
299,collocation,associated_studies_ar,20,رقم,رقم,رقم,1,1,رقم,رقم,1,1,both correct
